Order ID,Order Date,Ship Date,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
ORD-1023,2021-01-24,2021-01-26,South,Furniture,Storage,2198.4,1,0.25,-329.76
ORD-1024,2021-01-25,2021-01-27,South,Furniture,Chairs,488.57,1,0.24,-68.4
ORD-1025,2021-01-26,2021-01-28,West,Technology,Storage,1142.03,9,0.18,-91.36
ORD-1026,2021-01-27,2021-01-29,West,Furniture,Tables,3011.22,3,0.11,-30.11
ORD-1027,2021-01-28,2021-01-30,West,Office Supplies,Phones,3691.53,4,0.08,73.83
ORD-1028,2021-01-29,2021-01-31,South,Furniture,Binders,4991.82,1,0.03,349.43
ORD-1029,2021-01-30,2021-02-01,South,Office Supplies,Phones,4668.91,9,0.11,-46.69
ORD-1030,2021-01-31,2021-02-02,East,Technology,Storage,3230.7,8,0.12,-64.61
ORD-1031,2021-02-01,2021-02-03,East,Furniture,Binders,2135.18,2,0.2,-213.52
ORD-1032,2021-02-02,2021-02-04,South,Technology,Storage,3199.08,8,0.2,-319.91
ORD-1033,2021-02-03,2021-02-05,West,Furniture,Tables,3938.98,7,0.02,315.12
ORD-1034,2021-02-04,2021-02-06,West,Office Supplies,Chairs,635.76,6,0.12,-12.72
ORD-1035,2021-02-05,2021-02-07,East,Technology,Binders,2079.03,1,0.05,103.95
ORD-1036,2021-02-06,2021-02-08,South,Furniture,Tables,4207.02,7,0.05,210.35
ORD-1037,2021-02-07,2021-02-09,East,Office Supplies,Tables,1949.97,7,0.25,-292.5
ORD-1038,2021-02-08,2021-02-10,East,Technology,Binders,2880.77,9,0.01,259.27
ORD-1039,2021-02-09,2021-02-11,Central,Technology,Storage,2959.46,1,0.13,-88.78
ORD-1040,2021-02-10,2021-02-12,Central,Furniture,Tables,963.16,2,0.05,48.16
ORD-1041,2021-02-11,2021-02-13,Central,Furniture,Phones,1843.07,9,0.26,-294.89
ORD-1042,2021-02-12,2021-02-14,West,Furniture,Tables,1705.83,9,0.17,-119.41
ORD-1043,2021-02-13,2021-02-15,South,Office Supplies,Storage,179.67,6,0.07,5.39
ORD-1044,2021-02-14,2021-02-16,South,Furniture,Storage,169.75,6,0.15,-8.49
ORD-1045,2021-02-15,2021-02-17,South,Technology,Phones,4166.9,4,0.22,-500.03
ORD-1046,2021-02-16,2021-02-18,South,Technology,Tables,1401.7,4,0.29,-266.32
ORD-1047,2021-02-17,2021-02-19,Central,Furniture,Storage,2614.49,5,0.07,78.43
ORD-1048,2021-02-18,2021-02-20,West,Furniture,Binders,1528.69,3,0.27,-259.88
ORD-1049,2021-02-19,2021-02-21,West,Technology,Chairs,4706.36,1,0.28,-847.14
ORD-1050,2021-02-20,2021-02-22,Central,Office Supplies,Chairs,1333.52,1,0.27,-226.7
ORD-1051,2021-02-21,2021-02-23,West,Furniture,Chairs,2176.8,7,0.19,-195.91
ORD-1052,2021-02-22,2021-02-24,Central,Furniture,Tables,4370.01,1,0.19,-393.3
ORD-1053,2021-02-23,2021-02-25,South,Technology,Phones,4217.57,1,0.12,-84.35
ORD-1054,2021-02-24,2021-02-26,Central,Furniture,Storage,971.2,3,0.23,-126.26
ORD-1055,2021-02-25,2021-02-27,South,Office Supplies,Binders,4023.08,4,0.16,-241.38
ORD-1056,2021-02-26,2021-02-28,South,Technology,Binders,2318.03,4,0.2,-231.8
ORD-1057,2021-02-27,2021-03-01,East,Furniture,Tables,2440.7,2,0.13,-73.22
ORD-1058,2021-02-28,2021-03-02,Central,Technology,Chairs,710.73,1,0.22,-85.29
ORD-1059,2021-03-01,2021-03-03,East,Furniture,Tables,448.98,3,0.25,-67.35
ORD-1060,2021-03-02,2021-03-04,Central,Furniture,Phones,3653.3,4,0.04,219.2
ORD-1061,2021-03-03,2021-03-05,Central,Furniture,Phones,2507.48,3,0.25,-376.12
ORD-1062,2021-03-04,2021-03-06,East,Office Supplies,Storage,2212.41,8,0.16,-132.74
ORD-1063,2021-03-05,2021-03-07,East,Office Supplies,Storage,3661.07,1,0.25,-549.16
ORD-1064,2021-03-06,2021-03-08,Central,Technology,Phones,3839.29,2,0.13,-115.18
ORD-1065,2021-03-07,2021-03-09,West,Furniture,Phones,836.6,7,0.11,-8.37
ORD-1066,2021-03-08,2021-03-10,South,Furniture,Phones,3070.61,4,0.27,-522.0
ORD-1067,2021-03-09,2021-03-11,East,Office Supplies,Tables,720.0,8,0.08,14.4
ORD-1068,2021-03-10,2021-03-12,South,Furniture,Phones,3769.31,3,0.25,-565.4
ORD-1069,2021-03-11,2021-03-13,West,Office Supplies,Binders,3301.93,6,0.15,-165.1
ORD-1070,2021-03-12,2021-03-14,West,Furniture,Chairs,4785.24,9,0.15,-239.26
ORD-1071,2021-03-13,2021-03-15,West,Technology,Phones,391.34,1,0.09,3.91
ORD-1072,2021-03-14,2021-03-16,East,Furniture,Chairs,332.42,1,0.17,-23.27
ORD-1073,2021-03-15,2021-03-17,West,Furniture,Tables,1446.83,8,0.1,0.0
ORD-1074,2021-03-16,2021-03-18,East,Office Supplies,Chairs,1345.44,3,0.01,121.09
ORD-1075,2021-03-17,2021-03-19,West,Furniture,Tables,1272.55,5,0.08,25.45
ORD-1076,2021-03-18,2021-03-20,South,Furniture,Binders,4535.96,1,0.0,453.6
ORD-1077,2021-03-19,2021-03-21,South,Office Supplies,Tables,1285.25,5,0.29,-244.2
ORD-1078,2021-03-20,2021-03-22,Central,Technology,Tables,1396.15,6,0.29,-265.27
ORD-1079,2021-03-21,2021-03-23,South,Technology,Storage,3809.02,8,0.12,-76.18
ORD-1080,2021-03-22,2021-03-24,Central,Office Supplies,Phones,2276.21,3,0.22,-273.15
ORD-1081,2021-03-23,2021-03-25,South,Office Supplies,Phones,3894.72,3,0.1,0.0
ORD-1082,2021-03-24,2021-03-26,East,Office Supplies,Binders,373.56,9,0.2,-37.36
ORD-1083,2021-03-25,2021-03-27,South,Office Supplies,Binders,2463.48,4,0.24,-344.89
ORD-1084,2021-03-26,2021-03-28,Central,Office Supplies,Phones,216.39,4,0.28,-38.95
ORD-1085,2021-03-27,2021-03-29,Central,Technology,Storage,360.13,7,0.12,-7.2
ORD-1086,2021-03-28,2021-03-30,West,Technology,Phones,4536.87,2,0.23,-589.79
ORD-1087,2021-03-29,2021-03-31,East,Office Supplies,Storage,739.26,8,0.08,14.79
ORD-1088,2021-03-30,2021-04-01,South,Furniture,Binders,2685.48,6,0.3,-537.1
ORD-1089,2021-03-31,2021-04-02,West,Office Supplies,Chairs,2084.92,3,0.01,187.64
ORD-1090,2021-04-01,2021-04-03,South,Furniture,Binders,1769.35,9,0.18,-141.55
ORD-1091,2021-04-02,2021-04-04,South,Office Supplies,Binders,4504.18,5,0.2,-450.42
ORD-1092,2021-04-03,2021-04-05,West,Office Supplies,Tables,158.03,8,0.21,-17.38
ORD-1093,2021-04-04,2021-04-06,West,Technology,Tables,3335.76,7,0.04,200.15
ORD-1094,2021-04-05,2021-04-07,West,Furniture,Tables,4818.8,8,0.28,-867.38
ORD-1095,2021-04-06,2021-04-08,West,Furniture,Tables,2822.83,7,0.05,141.14
ORD-1096,2021-04-07,2021-04-09,West,Technology,Storage,4687.27,3,0.19,-421.85
ORD-1097,2021-04-08,2021-04-10,South,Technology,Phones,308.68,2,0.07,9.26
ORD-1098,2021-04-09,2021-04-11,West,Technology,Chairs,2123.03,7,0.09,21.23
ORD-1099,2021-04-10,2021-04-12,East,Technology,Binders,1337.78,3,0.16,-80.27
ORD-1100,2021-04-11,2021-04-13,Central,Furniture,Storage,3667.56,3,0.13,-110.03
ORD-1101,2021-04-12,2021-04-14,West,Furniture,Chairs,4907.42,2,0.05,245.37
ORD-1102,2021-04-13,2021-04-15,West,Office Supplies,Storage,1319.82,4,0.05,65.99
ORD-1103,2021-04-14,2021-04-16,South,Office Supplies,Storage,3288.16,8,0.13,-98.64
ORD-1104,2021-04-15,2021-04-17,West,Technology,Binders,1030.58,1,0.23,-133.98
ORD-1105,2021-04-16,2021-04-18,West,Technology,Phones,2848.38,1,0.27,-484.22
ORD-1106,2021-04-17,2021-04-19,West,Technology,Tables,2346.47,5,0.03,164.25
ORD-1107,2021-04-18,2021-04-20,South,Office Supplies,Phones,4861.43,5,0.12,-97.23
ORD-1108,2021-04-19,2021-04-21,West,Office Supplies,Binders,3062.21,1,0.03,214.35
ORD-1109,2021-04-20,2021-04-22,Central,Office Supplies,Binders,1780.06,6,0.0,178.01
ORD-1110,2021-04-21,2021-04-23,South,Office Supplies,Binders,614.77,1,0.2,-61.48
ORD-1111,2021-04-22,2021-04-24,Central,Office Supplies,Chairs,798.67,5,0.18,-63.89
ORD-1112,2021-04-23,2021-04-25,South,Office Supplies,Phones,1165.32,9,0.05,58.27
ORD-1113,2021-04-24,2021-04-26,West,Office Supplies,Phones,1292.28,5,0.07,38.77
ORD-1114,2021-04-25,2021-04-27,Central,Technology,Storage,4260.55,6,0.01,383.45
ORD-1115,2021-04-26,2021-04-28,South,Technology,Storage,2828.05,8,0.25,-424.21
ORD-1116,2021-04-27,2021-04-29,East,Technology,Storage,2640.79,1,0.29,-501.75
ORD-1117,2021-04-28,2021-04-30,West,Technology,Binders,618.11,2,0.04,37.09
ORD-1118,2021-04-29,2021-05-01,South,Office Supplies,Phones,4307.69,9,0.07,129.23
ORD-1119,2021-04-30,2021-05-02,East,Furniture,Binders,3627.93,3,0.26,-580.47
ORD-1120,2021-05-01,2021-05-03,South,Office Supplies,Chairs,384.96,6,0.28,-69.29
ORD-1121,2021-05-02,2021-05-04,East,Furniture,Storage,3553.78,5,0.13,-106.61
ORD-1122,2021-05-03,2021-05-05,West,Technology,Binders,2740.51,2,0.02,219.24
ORD-1123,2021-05-04,2021-05-06,Central,Office Supplies,Binders,454.54,7,0.01,40.91
ORD-1124,2021-05-05,2021-05-07,East,Technology,Chairs,2318.59,4,0.17,-162.3
ORD-1125,2021-05-06,2021-05-08,South,Office Supplies,Tables,2449.25,1,0.12,-48.98
ORD-1126,2021-05-07,2021-05-09,West,Technology,Phones,870.58,4,0.01,78.35
ORD-1127,2021-05-08,2021-05-10,East,Furniture,Tables,4731.21,6,0.17,-331.18
ORD-1128,2021-05-09,2021-05-11,South,Furniture,Storage,4257.38,7,0.0,425.74
ORD-1129,2021-05-10,2021-05-12,South,Furniture,Binders,3361.66,7,0.24,-470.63
ORD-1130,2021-05-11,2021-05-13,South,Office Supplies,Chairs,2338.36,7,0.09,23.38
ORD-1131,2021-05-12,2021-05-14,East,Furniture,Chairs,2088.24,3,0.01,187.94
ORD-1132,2021-05-13,2021-05-15,East,Office Supplies,Phones,3272.32,6,0.18,-261.79
ORD-1133,2021-05-14,2021-05-16,East,Furniture,Tables,2749.89,8,0.12,-55.0
ORD-1134,2021-05-15,2021-05-17,Central,Furniture,Phones,358.25,4,0.29,-68.07
ORD-1135,2021-05-16,2021-05-18,East,Office Supplies,Binders,2586.89,8,0.16,-155.21
ORD-1136,2021-05-17,2021-05-19,East,Office Supplies,Phones,4041.7,2,0.08,80.83
ORD-1137,2021-05-18,2021-05-20,East,Furniture,Chairs,2323.24,9,0.21,-255.56
ORD-1138,2021-05-19,2021-05-21,Central,Office Supplies,Chairs,307.19,9,0.08,6.14
ORD-1139,2021-05-20,2021-05-22,East,Furniture,Storage,3942.08,8,0.27,-670.15
ORD-1140,2021-05-21,2021-05-23,South,Office Supplies,Storage,1046.75,1,0.11,-10.47
ORD-1141,2021-05-22,2021-05-24,East,Technology,Binders,1330.17,2,0.16,-79.81
ORD-1142,2021-05-23,2021-05-25,South,Technology,Tables,865.3,6,0.02,69.22
ORD-1143,2021-05-24,2021-05-26,South,Technology,Phones,1684.56,5,0.13,-50.54
ORD-1144,2021-05-25,2021-05-27,South,Technology,Binders,3795.92,9,0.25,-569.39
ORD-1145,2021-05-26,2021-05-28,Central,Technology,Storage,2620.96,5,0.24,-366.93
ORD-1146,2021-05-27,2021-05-29,Central,Furniture,Phones,1064.16,2,0.07,31.92
ORD-1147,2021-05-28,2021-05-30,Central,Technology,Storage,4395.26,4,0.07,131.86
ORD-1148,2021-05-29,2021-05-31,East,Technology,Phones,4403.93,9,0.25,-660.59
ORD-1149,2021-05-30,2021-06-01,South,Technology,Tables,4359.36,1,0.28,-784.68
ORD-1150,2021-05-31,2021-06-02,Central,Technology,Binders,1232.04,1,0.03,86.24
ORD-1151,2021-06-01,2021-06-03,Central,Office Supplies,Phones,2283.63,7,0.14,-91.35
ORD-1152,2021-06-02,2021-06-04,East,Furniture,Chairs,4925.7,3,0.1,0.0
ORD-1153,2021-06-03,2021-06-05,Central,Technology,Chairs,3871.46,2,0.26,-619.43
ORD-1154,2021-06-04,2021-06-06,East,Technology,Phones,184.48,9,0.03,12.91
ORD-1155,2021-06-05,2021-06-07,West,Technology,Phones,372.76,3,0.06,14.91
ORD-1156,2021-06-06,2021-06-08,Central,Furniture,Phones,2346.46,2,0.23,-305.04
ORD-1157,2021-06-07,2021-06-09,West,Office Supplies,Chairs,4550.64,8,0.02,364.05
ORD-1158,2021-06-08,2021-06-10,East,Furniture,Chairs,2716.57,6,0.15,-135.83
ORD-1159,2021-06-09,2021-06-11,South,Office Supplies,Phones,2514.17,6,0.13,-75.43
ORD-1160,2021-06-10,2021-06-12,Central,Technology,Storage,572.09,7,0.1,0.0
ORD-1161,2021-06-11,2021-06-13,East,Technology,Storage,3301.06,7,0.12,-66.02
ORD-1162,2021-06-12,2021-06-14,South,Furniture,Tables,4119.41,6,0.16,-247.16
ORD-1163,2021-06-13,2021-06-15,South,Furniture,Binders,1933.08,4,0.05,96.65
ORD-1164,2021-06-14,2021-06-16,West,Office Supplies,Storage,3889.28,9,0.17,-272.25
ORD-1165,2021-06-15,2021-06-17,East,Office Supplies,Chairs,4824.16,6,0.24,-675.38
ORD-1166,2021-06-16,2021-06-18,South,Furniture,Storage,1058.64,4,0.23,-137.62
ORD-1167,2021-06-17,2021-06-19,Central,Office Supplies,Tables,2640.48,3,0.05,132.02
ORD-1168,2021-06-18,2021-06-20,Central,Furniture,Tables,1471.33,4,0.04,88.28
ORD-1169,2021-06-19,2021-06-21,West,Office Supplies,Binders,3974.63,3,0.08,79.49
ORD-1170,2021-06-20,2021-06-22,South,Furniture,Storage,2909.09,2,0.11,-29.09
ORD-1171,2021-06-21,2021-06-23,East,Furniture,Chairs,3191.18,5,0.12,-63.82
ORD-1172,2021-06-22,2021-06-24,Central,Furniture,Chairs,3999.68,2,0.2,-399.97
ORD-1173,2021-06-23,2021-06-25,South,Office Supplies,Phones,2010.05,6,0.02,160.8
ORD-1174,2021-06-24,2021-06-26,South,Office Supplies,Chairs,4579.7,3,0.01,412.17
ORD-1175,2021-06-25,2021-06-27,West,Office Supplies,Binders,2688.49,6,0.12,-53.77
ORD-1176,2021-06-26,2021-06-28,Central,Furniture,Binders,831.88,9,0.21,-91.51
ORD-1177,2021-06-27,2021-06-29,Central,Office Supplies,Chairs,3494.7,1,0.06,139.79
ORD-1178,2021-06-28,2021-06-30,East,Office Supplies,Chairs,3976.64,6,0.19,-357.9
ORD-1179,2021-06-29,2021-07-01,Central,Furniture,Phones,1617.97,9,0.08,32.36
ORD-1180,2021-06-30,2021-07-02,East,Technology,Chairs,4293.04,4,0.27,-729.82
ORD-1181,2021-07-01,2021-07-03,Central,Furniture,Phones,4535.41,2,0.27,-771.02
ORD-1182,2021-07-02,2021-07-04,West,Office Supplies,Phones,1420.68,4,0.09,14.21
ORD-1183,2021-07-03,2021-07-05,Central,Furniture,Chairs,4918.43,1,0.07,147.55
ORD-1184,2021-07-04,2021-07-06,East,Technology,Tables,746.52,3,0.12,-14.93
ORD-1185,2021-07-05,2021-07-07,East,Furniture,Tables,1049.98,9,0.07,31.5
ORD-1186,2021-07-06,2021-07-08,West,Office Supplies,Phones,961.91,5,0.2,-96.19
ORD-1187,2021-07-07,2021-07-09,Central,Technology,Chairs,4475.25,6,0.25,-671.29
ORD-1188,2021-07-08,2021-07-10,Central,Office Supplies,Tables,3288.75,3,0.2,-328.88
ORD-1189,2021-07-09,2021-07-11,West,Technology,Chairs,802.92,5,0.25,-120.44
ORD-1190,2021-07-10,2021-07-12,Central,Technology,Chairs,2229.6,8,0.12,-44.59
ORD-1191,2021-07-11,2021-07-13,Central,Furniture,Chairs,3095.73,6,0.05,154.79
ORD-1192,2021-07-12,2021-07-14,East,Furniture,Storage,463.15,4,0.22,-55.58
ORD-1193,2021-07-13,2021-07-15,Central,Office Supplies,Chairs,4417.96,2,0.11,-44.18
ORD-1194,2021-07-14,2021-07-16,Central,Furniture,Storage,4027.84,9,0.2,-402.78
ORD-1195,2021-07-15,2021-07-17,West,Furniture,Phones,2550.77,1,0.08,51.02
ORD-1196,2021-07-16,2021-07-18,West,Technology,Tables,4837.28,1,0.02,386.98
ORD-1197,2021-07-17,2021-07-19,South,Furniture,Tables,2117.92,4,0.3,-423.58
ORD-1198,2021-07-18,2021-07-20,East,Technology,Tables,4921.35,7,0.05,246.07
ORD-1199,2021-07-19,2021-07-21,Central,Technology,Tables,3356.2,1,0.3,-671.24
ORD-1200,2021-07-20,2021-07-22,Central,Technology,Tables,3191.62,9,0.29,-606.41
ORD-1201,2021-07-21,2021-07-23,South,Office Supplies,Tables,871.48,4,0.24,-122.01
ORD-1202,2021-07-22,2021-07-24,Central,Office Supplies,Tables,4415.54,3,0.2,-441.55
ORD-1203,2021-07-23,2021-07-25,East,Office Supplies,Phones,2166.07,1,0.17,-151.62
ORD-1204,2021-07-24,2021-07-26,South,Technology,Chairs,853.06,4,0.26,-136.49
ORD-1205,2021-07-25,2021-07-27,East,Office Supplies,Binders,112.41,9,0.09,1.12
ORD-1206,2021-07-26,2021-07-28,South,Office Supplies,Storage,2820.79,6,0.14,-112.83
ORD-1207,2021-07-27,2021-07-29,South,Furniture,Binders,2660.63,6,0.19,-239.46
ORD-1208,2021-07-28,2021-07-30,West,Office Supplies,Binders,3610.8,1,0.12,-72.22
ORD-1209,2021-07-29,2021-07-31,East,Office Supplies,Chairs,4456.78,2,0.13,-133.7
ORD-1210,2021-07-30,2021-08-01,Central,Technology,Chairs,443.06,6,0.1,0.0
ORD-1211,2021-07-31,2021-08-02,Central,Technology,Chairs,3670.91,2,0.17,-256.96
ORD-1212,2021-08-01,2021-08-03,East,Technology,Tables,977.69,3,0.26,-156.43
ORD-1213,2021-08-02,2021-08-04,Central,Technology,Phones,4297.98,4,0.06,171.92
ORD-1214,2021-08-03,2021-08-05,Central,Technology,Tables,4104.36,5,0.28,-738.78
ORD-1215,2021-08-04,2021-08-06,East,Technology,Phones,2726.93,9,0.21,-299.96
ORD-1216,2021-08-05,2021-08-07,South,Office Supplies,Phones,3565.7,4,0.25,-534.85
ORD-1217,2021-08-06,2021-08-08,East,Technology,Binders,1606.03,9,0.17,-112.42
ORD-1218,2021-08-07,2021-08-09,South,Technology,Binders,2382.28,3,0.23,-309.7
ORD-1219,2021-08-08,2021-08-10,Central,Furniture,Phones,4117.1,8,0.0,411.71
ORD-1220,2021-08-09,2021-08-11,Central,Office Supplies,Phones,2323.36,1,0.25,-348.5
ORD-1221,2021-08-10,2021-08-12,Central,Office Supplies,Tables,1821.1,9,0.01,163.9
ORD-1222,2021-08-11,2021-08-13,West,Office Supplies,Tables,2496.35,9,0.27,-424.38
ORD-1223,2021-08-12,2021-08-14,South,Technology,Binders,4149.83,2,0.3,-829.97
ORD-1224,2021-08-13,2021-08-15,West,Technology,Chairs,1709.28,4,0.09,17.09
ORD-1225,2021-08-14,2021-08-16,West,Technology,Phones,910.12,8,0.06,36.4
ORD-1226,2021-08-15,2021-08-17,East,Furniture,Tables,3574.47,7,0.23,-464.68
ORD-1227,2021-08-16,2021-08-18,West,Technology,Binders,4138.59,1,0.08,82.77
ORD-1228,2021-08-17,2021-08-19,East,Furniture,Tables,548.16,5,0.26,-87.71
ORD-1229,2021-08-18,2021-08-20,East,Office Supplies,Phones,1237.38,7,0.03,86.62
ORD-1230,2021-08-19,2021-08-21,West,Technology,Phones,752.76,4,0.04,45.17
ORD-1231,2021-08-20,2021-08-22,South,Furniture,Storage,1772.31,1,0.29,-336.74
ORD-1232,2021-08-21,2021-08-23,South,Furniture,Chairs,2279.24,9,0.2,-227.92
ORD-1233,2021-08-22,2021-08-24,South,Technology,Storage,3756.69,5,0.25,-563.5
ORD-1234,2021-08-23,2021-08-25,South,Office Supplies,Binders,3273.18,2,0.1,0.0
ORD-1235,2021-08-24,2021-08-26,South,Office Supplies,Tables,3123.6,8,0.2,-312.36
ORD-1236,2021-08-25,2021-08-27,West,Office Supplies,Binders,1794.26,2,0.18,-143.54
ORD-1237,2021-08-26,2021-08-28,West,Furniture,Phones,4215.17,3,0.18,-337.21
ORD-1238,2021-08-27,2021-08-29,Central,Furniture,Storage,2382.87,1,0.2,-238.29
ORD-1239,2021-08-28,2021-08-30,South,Furniture,Storage,4896.57,2,0.17,-342.76
ORD-1240,2021-08-29,2021-08-31,West,Furniture,Storage,3189.0,7,0.13,-95.67
ORD-1241,2021-08-30,2021-09-01,Central,Office Supplies,Binders,675.01,2,0.08,13.5
ORD-1242,2021-08-31,2021-09-02,South,Technology,Phones,3397.08,6,0.23,-441.62
ORD-1243,2021-09-01,2021-09-03,East,Furniture,Tables,1659.26,3,0.07,49.78
ORD-1244,2021-09-02,2021-09-04,Central,Furniture,Tables,3447.32,4,0.21,-379.21
ORD-1245,2021-09-03,2021-09-05,West,Office Supplies,Binders,394.72,8,0.07,11.84
ORD-1246,2021-09-04,2021-09-06,East,Technology,Storage,915.66,3,0.19,-82.41
ORD-1247,2021-09-05,2021-09-07,East,Technology,Chairs,4285.9,6,0.22,-514.31
ORD-1248,2021-09-06,2021-09-08,East,Office Supplies,Binders,1174.54,1,0.07,35.24
ORD-1249,2021-09-07,2021-09-09,Central,Office Supplies,Binders,4193.35,7,0.02,335.47
ORD-1250,2021-09-08,2021-09-10,West,Technology,Phones,1432.42,8,0.04,85.95
ORD-1251,2021-09-09,2021-09-11,East,Furniture,Tables,3232.27,8,0.18,-258.58
ORD-1252,2021-09-10,2021-09-12,South,Technology,Binders,3486.05,3,0.25,-522.91
ORD-1253,2021-09-11,2021-09-13,East,Office Supplies,Binders,2587.64,1,0.01,232.89
ORD-1254,2021-09-12,2021-09-14,East,Furniture,Storage,1561.29,9,0.22,-187.35
ORD-1255,2021-09-13,2021-09-15,Central,Furniture,Storage,1102.59,6,0.1,0.0
ORD-1256,2021-09-14,2021-09-16,Central,Office Supplies,Chairs,214.29,9,0.14,-8.57
ORD-1257,2021-09-15,2021-09-17,West,Office Supplies,Phones,1554.53,7,0.28,-279.82
ORD-1258,2021-09-16,2021-09-18,South,Office Supplies,Chairs,3283.16,1,0.1,0.0
ORD-1259,2021-09-17,2021-09-19,Central,Technology,Storage,4694.61,1,0.14,-187.78
ORD-1260,2021-09-18,2021-09-20,East,Technology,Tables,4362.46,6,0.0,436.25
ORD-1261,2021-09-19,2021-09-21,West,Furniture,Storage,3842.02,5,0.02,307.36
ORD-1262,2021-09-20,2021-09-22,East,Office Supplies,Phones,3952.81,9,0.08,79.06
ORD-1263,2021-09-21,2021-09-23,East,Furniture,Storage,3341.68,2,0.01,300.75
ORD-1264,2021-09-22,2021-09-24,Central,Furniture,Phones,1338.42,8,0.19,-120.46
ORD-1265,2021-09-23,2021-09-25,West,Furniture,Phones,4540.62,5,0.13,-136.22
ORD-1266,2021-09-24,2021-09-26,South,Furniture,Phones,3370.12,2,0.16,-202.21
ORD-1267,2021-09-25,2021-09-27,South,Office Supplies,Phones,2824.18,6,0.05,141.21
ORD-1268,2021-09-26,2021-09-28,Central,Furniture,Phones,599.4,8,0.09,5.99
ORD-1269,2021-09-27,2021-09-29,Central,Office Supplies,Tables,2262.92,4,0.2,-226.29
ORD-1270,2021-09-28,2021-09-30,West,Office Supplies,Chairs,2328.77,2,0.29,-442.47
ORD-1271,2021-09-29,2021-10-01,South,Technology,Binders,4329.59,5,0.02,346.37
ORD-1272,2021-09-30,2021-10-02,South,Office Supplies,Chairs,2755.91,2,0.27,-468.5
ORD-1273,2021-10-01,2021-10-03,South,Technology,Phones,1932.98,2,0.17,-135.31
ORD-1274,2021-10-02,2021-10-04,East,Office Supplies,Tables,4885.16,6,0.17,-341.96
ORD-1275,2021-10-03,2021-10-05,South,Office Supplies,Storage,598.07,9,0.15,-29.9
ORD-1276,2021-10-04,2021-10-06,East,Office Supplies,Tables,2141.61,4,0.02,171.33
ORD-1277,2021-10-05,2021-10-07,West,Technology,Phones,258.02,6,0.03,18.06
ORD-1278,2021-10-06,2021-10-08,East,Technology,Tables,3712.53,7,0.18,-297.0
ORD-1279,2021-10-07,2021-10-09,West,Furniture,Tables,4594.48,6,0.1,0.0
ORD-1280,2021-10-08,2021-10-10,South,Technology,Phones,1436.18,8,0.28,-258.51
ORD-1281,2021-10-09,2021-10-11,South,Technology,Tables,4298.79,4,0.12,-85.98
ORD-1282,2021-10-10,2021-10-12,West,Technology,Binders,1496.48,1,0.04,89.79
ORD-1283,2021-10-11,2021-10-13,Central,Technology,Binders,4558.31,7,0.21,-501.41
ORD-1284,2021-10-12,2021-10-14,West,Furniture,Tables,3782.11,3,0.09,37.82
ORD-1285,2021-10-13,2021-10-15,Central,Technology,Storage,4034.29,6,0.16,-242.06
ORD-1286,2021-10-14,2021-10-16,East,Office Supplies,Phones,139.13,2,0.21,-15.3
ORD-1287,2021-10-15,2021-10-17,East,Office Supplies,Binders,4815.91,9,0.27,-818.7
